"","ID","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F300","F400","F401","F402","F403","F500","F501","F502","F503","F504","F505","F506","F507","F508","F509","F510","F511","F512","F513","F514","F515","F516","F517","F518","F519","F520","F521","F600","F601","F602","F603"
"45",449,3,4,0,0,1,124,7,60,2,23,3,5,2,17,3,2,8,1,1,8,1016,1016,0,3302,48,3302,1,1,1,1,1,1,3,0,1,1,45,40,1,2,240,125,0,240,125,0,240,0,1,11,22,7,37194,25703,705,309,685,309,75,0,0.733333333333333,1.54
"46",450,5,4,0,0,1,161,7,63,43,20,5,6,5,10,2,0,6,1,1,1,16229,1730,720,2135,81,2135,1,1,1,1,1,1,2,0,1,1,20,7,1,300,500,330,0,240,330,0,150,180,1,10,17,13,47382,19522,442,289,442,289,75,0.02,0.786666666666667,1.6
"47",451,5,4,0,0,1,96,8,64,0,10,4,4,1,4,1,0,2,0,0,1,10011,1700,411,5100,45,5100,1,1,1,1,1,2,3,0,1,1,10,0,1,0,20,20,0,20,20,0,20,0,7,70,9,8,98,127,98,127,74,102,75,0,0.586666666666667,1.62666666666667
"48",452,5,4,0,0,2,145,11,50,35,14,3,7,4,11,7,3,6,0,0,1,974,945,0,1065,22,1065,1,1,1,1,1,2,2,0,1,1,8,7,1,20,30,70,0,70,70,0,80,100,10,1800,23,42,16300,32100,317,396,303,383,75,0.00666666666666667,0.853333333333333,1.48666666666667
"49",453,6,4,0,0,2,151,9,52,29,16,3,5,7,11,5,14,6,1,2,1,1545,1538,0,935,24,935,1,1,1,1,1,1,5,0,1,1,38,38,1,30,30,30,30,30,30,30,30,30,11,583,22,8,9075,8233,206,189,206,189,75,0.0133333333333333,0.933333333333333,1.7
"50",454,6,4,0,0,3,152,8,47,3,30,8,12,6,20,1,17,8,0,0,9,290,290,0,858,45,858,1,1,1,1,1,2,1,0,1,1,4,3,1,8,10,3,8,10,3,8,10,3,1,10,30,28,688,571,407,339,397,329,89.2857142857143,0,0.605714285714286,1.13714285714286
"51",455,6,4,0,0,1,65,4,20,4,11,2,6,3,14,1,0,5,1,2,9,1207,303,0,606,22,606,1,1,1,1,1,1,2,0,1,1,9,5,1,210,220,90,210,250,90,210,250,90,10,1000,16,14,64580,56265,247,218,127,132,75,0.0266666666666667,0.793333333333333,1.34666666666667
"52",456,5,4,0,0,1,63,4,25,7,10,2,4,2,8,1,0,5,1,1,9,2604,1500,0,1150,17,1150,1,1,1,1,1,1,1,0,1,1,10,3,1,190,190,0,190,190,0,190,190,0,23,278,0,0,0,0,0,0,0,0,48.6304347826087,0.0326086956521739,1.18478260869565,1.16304347826087
"53",457,4,4,0,0,1,74,6,17,16,8,10,6,5,5,1,0,1,0,0,7,2300,1900,0,900,20,900,1,1,1,1,1,2,2,0,1,1,7,7,1,60,120,30,60,120,30,60,120,30,86,864,0,13,5096,3311,150,164,150,164,75,0,0.653333333333333,1.72
"54",458,4,4,0,0,3,49,2,17,5,2,2,4,2,10,5,0,3,0,0,1,627,569,0,591,8,591,1,1,1,1,1,2,2,0,1,1,10,1,1,60,240,0,60,240,0,0,120,0,67,0,0,1,8900,6757,33,50,4,4,35,0.0178571428571429,0.714285714285714,1.53571428571429
"55",459,5,5,0,0,0,66,6,23,11,5,3,3,4,9,2,0,6,1,1,1,936,936,0,836,30,836,1,1,1,1,1,2,1,0,1,1,11,1,1,60,120,60,60,120,60,0,120,0,126,0,18,4,23160,17420,190,213,190,213,66.5384615384615,0.0153846153846154,0.969230769230769,1.28461538461538
"56",460,6,4,0,0,1,71,6,24,12,5,5,3,3,5,6,2,6,1,2,1,756,528,228,330,40,330,1,1,1,1,1,1,1,0,1,1,8,3,1,120,15,0,120,150,0,0,150,0,105,0,5,15,11025,0,220,0,56,0,73.1038961038961,0.0909090909090909,1.35064935064935,1.38961038961039
"57",461,6,4,0,0,1,91,11,31,10,10,6,8,4,10,1,0,6,1,1,2,1015,815,200,557,47,557,1,1,1,1,1,2,2,0,1,1,9,200,1,120,210,60,120,210,60,120,210,60,16,216,3,2,34404,32766,159,90,105,60,75,0,0.533333333333333,1.60666666666667
